# 기조 절의 항목 — 사람이 원문을 보고 옮겨 적는다.
#
# ordinal 은 **문서에 인쇄된 번호** 다. 우리가 계산한 값이 아니다(스펙 §1).
# ordinalSource 는 그 번호를 어느 절에서 가져왔는지다:
#   기조절  — 「외교정책 기조」 절 안에 번호(또는 서수 낱말·글머리 기호)가 있다
#   시책절  — 기조 절이 산문이라 번호가 없어, 같은 항목을 번호로 받은 「주요 외교시책」 절에서 가져왔다
# 두 절이 1:1로 대응하는지는 사람이 해마다 확인한다.
#
# quote 는 원문 그대로여야 한다. verify.py 가 text/<연도>.txt 와 글자 단위로
# 대조하고, 하나라도 어긋나면 빌드를 멈춘다.
# 원문 중간에 쪽 머리글이 끼어드는 자리는 (…) 로 끊는다 — 생략 표시이자
# '여기서 쪽이 넘어간다'는 기록이다.
#
# flags: title-lost | from-preface | partial | ocr | lead-only
#
id	coverageYear	ordinal	ordinalSource	title	quote	stream	srcEdition	srcChapter	srcSection	srcPage	flags
2006-3	2006	3	기조절	국력에 걸맞은 선진외교	정책목표Ⅲ국력에 걸맞은 선진외교	global-role	2007 외교백서	1	2	23	heading-only
2006-4	2006	4	기조절	선진통상국가 구현을 위한 경제외교	정책목표Ⅳ선진통상국가 구현을 위한 경제외교	economy	2007 외교백서	1	2	23	heading-only
2006-5	2006	5	기조절	국민과 함께하는 열린외교	외교정책에 대한 국민적 이해와 지지를 확보하고, 해외여행객 1,200만명 시대를 맞아 국민의 해외활동 편의 증진을 위한 노력을 지속적으로 강화해 나가기 위해 '국민과 함께 열린외교'를 추진하였다.	public-diplomacy	2007 외교백서	1	2	23	
2007-1	2007	1	기조절	동북아평화·번영추구	2007년은 참여정부 마지막 해로서, ①한반도와 동북아 평화·번영 추구	peninsula	2008 외교백서	1	2	7	partial
2007-2	2007	2	기조절	국제협력증진및국가이미지제고	국제사회의 우리나라에 대한 기대에 부응하면서, 우리의 경제규모에 상응하는 국제적 기여를 확대하기 위해 노력하였다.	global-role	2008 외교백서	1	2	7	
2007-3	2007	3	기조절	경제·통상외교 강화	③경제·통상외교강화	economy	2008 외교백서	1	2	7	partial
2008-1	2008	1	기조절	한반도의 평화와 안정 유지	한반도의 평화와 안정을 보다 굳건히 하기 위해 주변국과 협력을 강화하고 북핵문제의 해결과 상생과 공영의 대북정책을 추진하였다.	peninsula	2009 외교백서	1	2	18	partial
2008-2	2008	2	기조절	글로벌 네트워크 구축	외교의 지평을 동북아뿐만 아니라 동남아·서남아·중앙아 등 범아시아, 중동, 중남미, 아프리카까지 전방위로 확대하여, 글로벌 협력 네트워크를 구축하기 위해 노력하였다.	regional	2009 외교백서	1	2	18	partial
2008-3	2008	3	기조절	신성장동력 창출에 대한 기여	우리 경제 선진화와 지속적 성장동력 창출을 지원하기 위한 외교적 노력도 경주하였다.	economy	2009 외교백서	1	2	18	partial
2009-1	2009	1	기조절	한반도의 평화와 안정 공고화	2008년에 격상, 강화된 주변 4국과의 관계를 보다 튼튼히 하여 한반도의 평화와 안정을 공고히 하고 북핵문제 해결을 위해 6자회담의 조속한 재개를 추진하였다.	peninsula	2010 외교백서	1	2	18	
2009-2	2009	2	기조절	경제살리기 외교 강화	세계 경제위기에 대응하기 위한 경제·통상외교에 주력하였다.	economy	2010 외교백서	1	2	19	
2009-3	2009	3	기조절	신아시아 외교 추진	우리 외교의 외연을 확대하기 위한 글로벌 네트워크 구축의 일환으로 신아시아외교를 중점 추진하여 동남아, 중앙아, 서남아 지역을 포함한 인근 아시아 우방국들과의 실질적인 협력관계를 강화하였다.	regional	2010 외교백서	1	2		
2009-4	2009	4	기조절	국제사회 내 역할과 위상 제고	4. 국제사회 내 역할과 위상 제고	global-role	2010 외교백서	1	2		heading-only
2009-5	2009	5	기조절	대국민 생활공감 서비스 향상	우리 국민의 해외진출 반경 확대와 재외국민 안전·보호 수요 증대에 효과적으로 대응하기 위해 영사서비스 제도의 개선을 지속적으로 추진하였다.	overseas-koreans	2010 외교백서	1	2		
2009-6	2009	6	기조절	외교역량 강화	6. 외교역량 강화	capacity	2010 외교백서	1	2	21	heading-only
2010-1	2010	1	기조절	한반도 안보 공고화	1. 한반도 안보 공고화	peninsula	2011 외교백서	1	2		heading-only
2010-2	2010	2	기조절	정상외교 지평 확대를 통한 글로벌 네트워크 구축	정상외교를 통해 주변 4국과의 관계를 강화하고 신아시아 외교를 본격 추진한 데 이어 아중동·중남미·EU 지역으로 우리의 외교지평을 확대·심화하고자 노력하였다.	regional	2011 외교백서	1	2		
2010-3	2010	3	기조절	서울 G20 정상회의의 성공적 개최	우리 정부는 2010년 G20 정상회의 서울 개최가 확정된 이후 대통령 직속의 G20 준비위원회를 구성하여 회의 준비를 위한 범정부적 역량을 결집하였다.	global-role	2011 외교백서	1	2		
2010-4	2010	4	기조절	경제·통상외교 강화	4. 경제·통상외교 강화	economy	2011 외교백서	1	2		heading-only
2010-5	2010	5	기조절	국제사회내 역할과 위상 제고	우리의 높아진 국제적 위상에 걸맞은 기여외교 수행을 위한 노력도 지속적으로 경주하였다.	global-role	2011 외교백서	1	2		
2010-6	2010	6	기조절	영사서비스 확충 및 국민과의 소통 강화	우리 국민의 해외활동 안전과 편익 증진을 위해 영사콜센터, 신속대응팀제도 등을 지속 운영하는 한편, 해외안전여행 대학생 서포터즈 발족·해외안전여행홈페이지를 통한 정보 집중 전파에 주력하였다.	overseas-koreans	2011 외교백서	1	2		
2010-7	2010	7	기조절	외교역량 강화	끊임없이 변화하는 외교환경과 우리나라의 국력신장에 따라 급증하고 있는 업무수요에 능동적으로 대응하고자 외교통상부는 직원들의 외교역량 강화와 외교 인프라 강화를 동시에 추진하였다.	capacity	2011 외교백서	1	2		
2011-1	2011	1	기조절	안보를 튼튼히 하는 외교	우리의 안보를 튼튼히 하기 위해 주변국과 긴밀한 공조를 통하여, 북한의 도발을 억제하고, 북한의 태도 변화를 유도하기 위한 외교적 노력을 경주하였다.	peninsula	2012 외교백서	1	2	19	
2011-2	2011	2	기조절	국격을 높이는 외교	지난해에는 ASEAN+3 정상회담, 중앙아시아 정상순방 등을 통해 신아시아외교를 지속 공고화하였으며, EU와는 고위정치대화 개설, FTA 발효, 정상 유럽순방 등으로, 전략적 동반자관계를 내실화하였다.	global-role	2012 외교백서	1	2	20	
2011-3	2011	3	기조절	선진경제를 실현하는 외교	신흥시장 진출 확대를 위하여, 비즈니스 외교의 확대, 통상투자사절단 파견 및 재외공관의 우리 농식품 홍보사업을 폭넓게 전개하였으며, 주요 수입규제조치에 대한 적극적 대응 노력을 경주하여 관세부담액을 경감시켰다.	economy	2012 외교백서	1	2	20	
2011-4	2011	4	기조절	국민을 섬기는 외교	4. 국민을 섬기는 외교	overseas-koreans	2012 외교백서	1	2	21	heading-only
2011-5	2011	5	기조절	공공외교 및 민간부문과의 협력 확대	재외공관과 우리 기업, NGO 등 민·관이 함께하는 문화외교를 통해 국격을 높이고 세계와 소통하기 위한 활동을 적극 전개하였다.	public-diplomacy	2012 외교백서	1	2	21	
2011-6	2011	6	기조절	21세기형 선진외교체제 구축	개방과 공정의 외교통상부로 거듭나기 위해 21세기형 선진외교체제를 구축하는 노력을 경주하였다.	capacity	2012 외교백서	1	2	22	
